Age,Working Class,Education,Marital Status,Occupation,Gender,Capital Gain,Capital Loss,Hour per Week,Salary
21,Entrepreneur,Senior High School,Single,Other Services,Female,0.0,0.0,35.0,<=7jt
49,Entrepreneur,Senior High School,Divorced,Executive Manager,Female,0.0,0.0,40.0,<=7jt
44,Entrepreneur,Associate Degree,Married,Executive Manager,Male,61404000.0,0.0,45.0,>7jt
24,Entrepreneur,Bachelor,Single,Specialist,Male,0.0,0.0,35.0,<=7jt
33,Entrepreneur,Master,Married,Specialist,Male,210336000.0,0.0,40.0,>7jt
31,Entrepreneur,Bachelor,Single,Executive Manager,Female,0.0,19712000.0,40.0,<=7jt
20,Entrepreneur,Senior High School,Single,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
43,Entrepreneur,Senior High School,Divorced,Sales,Female,0.0,0.0,46.0,<=7jt
31,Entrepreneur,Senior High School,Married,Cleaning Service,Male,70182000.0,0.0,40.0,<=7jt
28,Local Government,Associate Degree,Single,Religious Leader,Female,0.0,27720000.0,40.0,<=7jt
45,Entrepreneur,Elementary School,Married,Other Services,Female,0.0,0.0,40.0,<=7jt
44,Local Government,Associate Degree,Married,Specialist,Male,0.0,0.0,48.0,<=7jt
52,Corporate Freelance,Bachelor,Single,Executive Manager,Male,0.0,0.0,40.0,<=7jt
27,Entrepreneur,Senior High School,Married,Farmer,Male,0.0,0.0,40.0,>7jt
26,Entrepreneur,Bachelor,Single,Tech Support,Male,0.0,0.0,40.0,<=7jt
56,Entrepreneur,Senior High School,Divorced,Other Services,Female,0.0,0.0,45.0,<=7jt
59,Entrepreneur,Elementary School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
41,Entrepreneur,Senior High School,Divorced,Driver,Male,0.0,0.0,45.0,<=7jt
51,Entrepreneur,Senior High School,Divorced,Other Services,Female,0.0,0.0,38.0,<=7jt
68,Entrepreneur,Senior High School,Married,Religious Leader,Male,53452000.0,0.0,40.0,<=7jt
37,Country Government,Bachelor,Single,Religious Leader,Female,120596000.0,0.0,40.0,>7jt
67,Entrepreneur,Senior High School,Widowed,Cleaning Service,Male,0.0,0.0,32.0,<=7jt
34,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
42,Other,Bachelor,Divorced,Other Services,Female,0.0,0.0,12.0,<=7jt
44,Non-Corporate Freelance,Senior High School,Married,Farmer,Male,0.0,0.0,60.0,<=7jt
24,Entrepreneur,Senior High School,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
25,Entrepreneur,Associate Degree,Married,Handicraft Refinement,Male,43442000.0,0.0,45.0,>7jt
50,Entrepreneur,Master,Single,Executive Manager,Male,389592000.0,0.0,48.0,>7jt
32,Entrepreneur,Bachelor,Married,Specialist,Male,0.0,0.0,40.0,>7jt
23,Entrepreneur,Bachelor,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
29,Entrepreneur,Associate Degree,Married,Sales,Female,107632000.0,0.0,45.0,>7jt
40,Entrepreneur,Senior High School,Separated,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
34,Entrepreneur,Professional School,Single,Executive Manager,Male,0.0,0.0,50.0,<=7jt
44,Entrepreneur,Junior High School,Married,Handicraft Refinement,Male,0.0,0.0,35.0,<=7jt
59,Entrepreneur,Bachelor,Married,Executive Manager,Male,0.0,0.0,60.0,>7jt
33,Entrepreneur,Elementary School,Married,Household Assistant,Female,0.0,0.0,40.0,<=7jt
35,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,>7jt
22,Entrepreneur,Bachelor,Single,Other Services,Female,0.0,0.0,35.0,<=7jt
25,Entrepreneur,Bachelor,Single,Specialist,Female,0.0,0.0,40.0,<=7jt
31,Entrepreneur,Bachelor,Single,Specialist,Male,0.0,0.0,40.0,<=7jt
24,Entrepreneur,Senior High School,Single,Cleaning Service,Male,0.0,0.0,40.0,<=7jt
44,Entrepreneur,Master,Married,Specialist,Male,0.0,0.0,40.0,<=7jt
42,State Government,Master,Married,Specialist,Male,0.0,26628000.0,40.0,>7jt
33,Entrepreneur,Bachelor,Married,Cleaning Service,Male,0.0,0.0,40.0,<=7jt
47,Non-Corporate Freelance,Bachelor,Married,Executive Manager,Male,0.0,0.0,30.0,<=7jt
66,Non-Corporate Freelance,Doctoral,Married,Sales,Male,0.0,33278000.0,25.0,>7jt
43,Entrepreneur,Senior High School,Married,Driver,Male,0.0,0.0,30.0,<=7jt
81,Non-Corporate Freelance,Junior High School,Married,Farmer,Male,0.0,0.0,21.0,<=7jt
29,Entrepreneur,Senior High School,Single,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
27,Entrepreneur,Bachelor,Single,Tech Support,Male,0.0,0.0,45.0,<=7jt
35,Non-Corporate Freelance,Senior High School,Single,Other Services,Female,0.0,0.0,40.0,<=7jt
51,Entrepreneur,Senior High School,Married,Religious Leader,Female,47754000.0,0.0,38.0,<=7jt
36,State Government,Senior High School,Divorced,Religious Leader,Female,0.0,0.0,40.0,<=7jt
32,Entrepreneur,Bachelor,Single,Executive Manager,Female,0.0,0.0,45.0,<=7jt
55,Entrepreneur,Senior High School,Married,Other Services,Female,0.0,0.0,33.0,<=7jt
46,Entrepreneur,Senior High School,Divorced,Specialist,Female,0.0,0.0,40.0,<=7jt
29,Entrepreneur,Senior High School,Single,Sales,Female,0.0,0.0,35.0,<=7jt
68,Entrepreneur,Elementary School,Married,Sales,Male,0.0,0.0,22.0,<=7jt
58,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,50.0,<=7jt
61,Entrepreneur,Junior High School,Widowed,Other Services,Female,0.0,0.0,38.0,<=7jt
56,Entrepreneur,Master,Married,Executive Manager,Female,0.0,0.0,50.0,<=7jt
45,Entrepreneur,Bachelor,Married,Executive Manager,Male,0.0,0.0,38.0,>7jt
37,Entrepreneur,Bachelor,Married,Executive Manager,Female,0.0,0.0,37.0,>7jt
17,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,25.0,<=7jt
